City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1254,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
1266,College,US,70.07,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
1287,Atherton,GB,70.9,clear sky,53.5237,-2.4935,The Mercury Motel
1299,Antsohihy,MG,69.03,few clouds,-14.8796,47.9875,Hotel de Ville
1310,Vao,NC,68.16,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
1327,Diapaga,BF,70.45,moderate rain,12.0708,1.7889,Hôtel GACILIE
1356,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
1395,Osmanabad,IN,70.3,broken clouds,18.1667,76.05,Hotel Megh Malhar
1399,Ponta do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
1405,Fort Nelson,CA,69.49,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
1433,Esqueda,MX,70.65,scattered clouds,30.7167,-109.5833,Hotel Esqueda
1444,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
1454,Cham,CH,68.34,broken clouds,47.1821,8.4636,City Garden Hotel
1469,Nantucket,US,71.74,overcast clouds,41.2835,-70.0995,Jared Coffin House
1522,Vao,NC,68.16,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
1524,Mahébourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1541,Mahébourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1544,Mahébourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1568,Kibala,TD,72.0,overcast clouds,9.1104,18.3463,Prasant Hotels
1586,Ponta do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
1601,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1621,Salisbury,GB,71.02,clear sky,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
1636,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1648,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1673,Alpena,US,71.92,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
1688,Gravenhurst,CA,68.56,clear sky,44.9168,-79.3663,Residence Inn by Marriott Gravenhurst Muskoka Wharf
1721,Los Llanos de Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
1722,Jāmai,IN,70.99,overcast clouds,22.2,78.5833,APNA MP ONLINE
1726,Los Llanos de Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
1747,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1749,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1752,Tonj,SS,69.24,overcast clouds,7.2737,28.6822,Lakan Hotel
1771,Margate,GB,68.7,clear sky,51.3813,1.3862,Premier Inn Margate hotel
1800,Shahreza,IR,71.92,clear sky,32.0339,51.8794,خوابگاه
